taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,vis,iso,任务类型
ARCF149_20230823100000,1692756000.0,1692759600.0,YiZhuangDaLuWang,18.8972613234,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823112556,1692761157.0,1692763200.0,YiZhuangDaLuWang,13.8084767665,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823120000,1692763200.0,1692769920.0,YiZhuangDaLuWang,15.5877578246,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823135721,1692770241.0,1692770399.0,YiZhuangDaLuWang,0.00207223976707,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823140000,1692770400.0,1692772680.0,YiZhuangDaLuWang,0.00679660048114,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823145910,1692773950.0,1692774720.0,YiZhuangDaLuWang,0.0777285100499,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823151448,1692774889.0,1692774900.0,YiZhuangDaLuWang,0.0,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823151818,1692775099.0,1692777600.0,YiZhuangDaLuWang,11.7469688944,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823160000,1692777600.0,1692779639.0,YiZhuangDaLuWang,2.50848783974,0.0,null,null,null,5.4.16.3,0
ARCF1146_20230825085610,1692924972.0,1692926554.0,WuHanJingKaiQuKaiChengLuWang,4.61466876118,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825092518,1692926719.0,1692928800.0,WuHanJingKaiQuKaiChengLuWang,13.1122643211,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825100000,1692928800.0,1692936000.0,WuHanJingKaiQuKaiChengLuWang,31.0176951438,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825120000,1692936000.0,1692943200.0,WuHanJingKaiQuKaiChengLuWang,40.8292417464,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825140000,1692943200.0,1692945530.0,WuHanJingKaiQuKaiChengLuWang,16.1202209106,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825153013,1692948614.0,1692950400.0,WuHanJingKaiQuKaiChengLuWang,3.53864159204,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230825160000,1692950400.0,1692950683.0,WuHanJingKaiQuKaiChengLuWang,0.840343793244,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230828085300,1693183981.0,1693188000.0,WuHanJingKaiQuKaiChengLuWang,32.4500652222,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230828100000,1693188000.0,1693195200.0,WuHanJingKaiQuKaiChengLuWang,36.7058546662,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230828120000,1693195200.0,1693201500.0,WuHanJingKaiQuKaiChengLuWang,60.2098949311,0.0,null,null,null,5.4.14.25,0
ARCF1146_20230828161352,1693210433.0,1693211391.0,WuHanJingKaiQuKaiChengLuWang,6.60250623294,0.0,null,null,null,5.4.14.25,0
ARCF219_20230830083827,1693355908.0,1693358700.0,YiZhuangDaLuWang,3.13354637552,0.0,null,null,null,5.4.16.12,0
ARCF219_20230830092904,1693358944.0,1693358999.0,YiZhuangDaLuWang,0.0,0.0,null,null,null,5.4.16.13,16
ARCF219_20230830093141,1693359101.0,1693360859.0,YiZhuangDaLuWang,9.98631831514,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830100000,1693360800.0,1693366860.0,YiZhuangDaLuWang,45.5544997238,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830121200,1693368721.0,1693372140.0,YiZhuangDaLuWang,0.0492423980594,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830131215,1693372335.0,1693375259.0,YiZhuangDaLuWang,15.6258514809,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830140000,1693375200.0,1693378740.0,YiZhuangDaLuWang,13.3108580663,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830150831,1693379311.0,1693382459.0,YiZhuangDaLuWang,0.014832733325,0.0,null,null,null,5.4.16.13,0
ARCF219_20230830160000,1693382400.0,1693382520.0,YiZhuangDaLuWang,0.000451141505823,0.0,null,null,null,5.4.16.13,0
ARCF1146_20230901084337,1693529018.0,1693533600.0,WuHanJingKaiQuKaiChengLuWang,18.9962665929,0.0,null,null,null,5.4.16.12,0
ARCF1146_20230901100000,1693533600.0,1693540800.0,WuHanJingKaiQuKaiChengLuWang,45.2976813213,0.0,null,null,null,5.4.16.12,0
ARCF1146_20230901120000,1693540800.0,1693545441.0,WuHanJingKaiQuKaiChengLuWang,32.723202288,0.0,null,null,null,5.4.16.12,0
ARCF1146_20230901161315,1693555996.0,1693558058.0,WuHanJingKaiQuKaiChengLuWang,9.52363125596,0.0,null,null,null,5.4.16.12,0
ARCF1146_20230904092911,1693790952.0,1693792800.0,WuHanJingKaiQuKaiChengLuWang,10.0726857629,0.0,null,null,null,5.4.16.14,0
ARCF1146_20230904100000,1693792800.0,1693800000.0,WuHanJingKaiQuKaiChengLuWang,36.494610476,0.0,null,null,null,5.4.16.14,0
ARCF1146_20230904120000,1693800000.0,1693807200.0,WuHanJingKaiQuKaiChengLuWang,25.5526516598,0.0,null,null,null,5.4.16.14,0
ARCF1146_20230904140000,1693807200.0,1693809134.0,WuHanJingKaiQuKaiChengLuWang,14.5561675272,0.0,null,null,null,5.4.16.14,0
ARCF1146_20230904162932,1693816174.0,1693817621.0,WuHanJingKaiQuKaiChengLuWang,9.61298157503,0.0,null,null,null,5.4.16.14,0
ARCF067_20230906083114,1693960275.0,1693965600.0,YiZhuangDaLuWang,14.1941904555,0.0,null,null,null,5.3.327.2,0
ARCF067_20230906100000,1693965600.0,1693971420.0,YiZhuangDaLuWang,10.6937132373,0.0,null,null,null,5.3.327.2,0
ARCF067_20230906122038,1693974039.0,1693974120.0,YiZhuangDaLuWang,0.0049010563188,0.0,null,null,null,5.4.16.15,0
ARCF067_20230906122401,1693974241.0,1693980000.0,YiZhuangDaLuWang,35.9768147557,0.0,null,null,null,5.4.16.15,0
ARCF067_20230906140000,1693980000.0,1693981560.0,YiZhuangDaLuWang,10.6770298699,0.0,null,null,null,5.4.16.15,0
ARCF067_20230906142917,1693981758.0,1693985399.0,YiZhuangDaLuWang,0.00738718375345,0.0,null,null,null,5.4.16.15,16
ARCF067_20230906153221,1693985542.0,1693987200.0,YiZhuangDaLuWang,9.67435155363,0.0,null,null,null,5.4.16.15,0
ARCF067_20230906160000,1693987200.0,1693988700.0,YiZhuangDaLuWang,4.40336126015,0.0,null,null,null,5.4.16.15,0
ARCF1299_20230908083614,1694133375.0,1694138400.0,WuHanJingKaiQuKaiChengLuWang,15.7148056417,0.0,null,null,null,5.4.16.16,0
ARCF1299_20230908100000,1694138400.0,1694145600.0,WuHanJingKaiQuKaiChengLuWang,45.8104924174,0.0,null,null,null,5.4.16.16,0
ARCF1299_20230908120000,1694145600.0,1694152800.0,WuHanJingKaiQuKaiChengLuWang,23.0614317778,0.0,null,null,null,5.4.16.16,0
ARCF1299_20230908140000,1694152800.0,1694153431.0,WuHanJingKaiQuKaiChengLuWang,6.70134232266,0.0,null,null,null,5.4.16.16,0
ARCF1299_20230908162517,1694161518.0,1694163137.0,WuHanJingKaiQuKaiChengLuWang,10.0506558644,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911085554,1694393756.0,1694397600.0,WuHanJingKaiQuKaiChengLuWang,24.9603379459,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911100000,1694397600.0,1694404800.0,WuHanJingKaiQuKaiChengLuWang,42.7057559751,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911120000,1694404800.0,1694407906.0,WuHanJingKaiQuKaiChengLuWang,0.0124243850006,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911130008,1694408409.0,1694408731.0,WuHanJingKaiQuKaiChengLuWang,0.00534607956846,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911141430,1694412871.0,1694413634.0,WuHanJingKaiQuKaiChengLuWang,0.00663311328404,0.0,null,null,null,5.4.16.16,0
ARCF1146_20230911144051,1694414452.0,1694414980.0,WuHanJingKaiQuKaiChengLuWang,0.00799369882484,0.0,null,null,null,5.4.17.6,0
ARCF1146_20230911145219,1694415140.0,1694415882.0,WuHanJingKaiQuKaiChengLuWang,2.82529952868,0.0,null,null,null,5.4.17.6,0
ARCF1146_20230911161546,1694420147.0,1694422483.0,WuHanJingKaiQuKaiChengLuWang,10.7702447819,0.0,null,null,null,5.4.17.6,0
ARCF123_20230913083133,1694565094.0,1694565300.0,YiZhuangDaLuWang,0.0,0.0,null,null,null,5.4.16.16,0
ARCF123_20230913085452,1694566492.0,1694570400.0,YiZhuangDaLuWang,17.9479137466,0.0,null,null,null,5.4.16.16,0
ARCF123_20230913100000,1694570400.0,1694577600.0,YiZhuangDaLuWang,31.1533876441,0.0,null,null,null,5.4.16.16,0
ARCF123_20230913120000,1694577600.0,1694584800.0,YiZhuangDaLuWang,27.3994893529,0.0,null,null,null,5.4.16.16,0
ARCF123_20230913140000,1694584800.0,1694592000.0,YiZhuangDaLuWang,10.1677465174,0.0,null,null,null,5.4.16.16,0
ARCF123_20230913160000,1694592000.0,1694594040.0,YiZhuangDaLuWang,2.51085350943,0.0,null,null,null,5.4.16.16,0
